product_id,tn
20001,1283.453577839827
20002,1019.9879359884674
20003,732.9651350599316
20004,546.911465770404
20005,521.8543667305277
20006,451.84571372867174
20007,397.9319879303893
20008,394.4607976734622
20009,473.710816621542
20010,393.38371396228223
20011,382.1902805950459
20012,305.80306084231586
20013,358.5007855042661
20014,351.8487532392862
20015,352.56650175999727
20016,288.5575644122843
20017,266.6455512686665
20018,241.99198579350113
20019,330.17537748819393
20020,270.5428563424706
20021,236.3684624663843
20022,245.8066015673963
20023,210.22186826077183
20024,217.5770026856871
20025,219.67588564006218
20026,232.95093559722102
20027,210.2315642535441
20028,201.75629563201457
20029,175.89014031909537
20030,134.2037718293825
20031,181.16556891692085
20033,135.17464573064314
20035,166.45003885907107
20037,147.51973418556165
20038,166.15012835681677
20039,140.09114690329523
20041,128.39897898376637
20042,141.07337544668508
20043,121.72778976898447
20044,140.21587467998245
20045,147.15192996829387
20046,144.60054081521994
20047,151.74610590511293
20050,124.35815202433291
20051,128.83404213620045
20052,109.8745991312654
20053,148.0171290492355
20054,131.6030951050051
20055,101.2649558639201
20056,100.01322529336929
20057,134.26242848628513
20058,116.73790096462169
20059,131.31382888865213
20061,121.82681696988871
20062,99.52819167851369
20063,112.80094218037873
20065,108.46255345504906
20066,116.3445618582634
20067,105.28909408243652
20068,107.06703951364028
20069,127.36584961597131
20070,104.32313448656654
20071,106.78247450881096
20072,92.22635446601343
20073,101.26808909881906
20074,85.75023576833189
20075,123.67115574219706
20076,95.8221974275704
20077,93.04848580495916
20079,57.84955684679443
20080,86.11205668841193
20081,92.33927369634385
20082,72.35691686490006
20084,100.73341825786562
20086,59.269302555926814
20087,76.92700311353344
20090,75.93580362445964
20091,97.00534128998633
20092,62.212283180591506
20093,80.2349584042819
20094,92.10972342484321
20095,61.93032783543758
20096,69.05952318484248
20097,66.54704064250306
20099,69.56639713232987
20100,67.24352942454564
20101,74.33376084644706
20102,37.20581703857221
20103,74.7792651481328
20106,70.37954938102423
20107,74.63301767178743
20108,62.63174670237691
20109,65.89820896969619
20111,76.22231630005771
20114,58.04736046634306
20116,84.77618911430106
20117,49.86611018297243
20118,64.09769177594109
20119,53.4259169036629
20120,63.57239215296044
20121,71.29023276733712
20122,68.80357841085649
20123,60.848712819539216
20124,53.509435131777934
20125,57.99960381578143
20129,60.29201920499716
20132,55.46519301797227
20133,49.71829595728635
20134,56.13968281529476
20137,52.62868032252195
20138,39.94313554739111
20139,52.806571604043775
20140,54.1544011528137
