periodo,product_id,stock_final
201810,20524,1.61267
201810,20311,2.93657
201810,20654,6.83269
201810,21005,1.01338
201810,20974,0.34595
201810,20828,10.5114
201810,20941,1.49926
201810,20803,0.86351
201810,20781,3.71171
201810,20638,36.99762
201810,20479,18.82663
201810,20313,0.0
201810,20224,61.37859
201810,20232,4.08135
201810,20158,1.09473
201810,21048,0.4777
201810,20086,141.21802
201810,20852,7.80562
201810,20948,2.46997
201810,20283,37.07908
201810,20937,2.97679
201810,21080,2.75184
201810,20947,3.51624
201810,20812,4.78624
201810,20970,2.66448
201810,20609,22.30301
201810,20051,66.02588
201810,20242,79.51507
201810,20325,17.3497
201810,20033,201.94629
201810,21088,0.92309
201810,20432,10.41807
201810,20424,3.59007
201810,20505,1.41426
201810,20484,13.76938
201810,20641,3.1039
201810,20721,0.68883
201810,20660,7.40289
201810,20797,4.46584
201810,20925,7.06324
201810,21032,1.74702
201810,20486,9.72972
201810,20730,6.66011
201810,20388,41.0046
201810,20119,3.05159
201810,20129,4.88419
201810,20053,40.21927
201810,20846,2.77095
201810,20007,0.34054
201810,20055,0.20258
201810,20810,0.00419
201810,20672,1.94044
201810,20190,27.74728
201810,20148,14.00343
201810,20233,9.5481
201810,20345,0.12885
201810,20162,7.43685
201810,20472,57.04608
201810,20363,52.04909
201810,20366,16.91462
201810,20308,21.82639
201810,20482,32.42273
201810,20606,30.26551
201810,20745,21.09099
201810,20579,23.88039
201810,20713,23.15311
201810,20470,23.5346
201810,20596,23.54814
201810,20893,2.05573
201810,20939,9.48652
201810,20039,99.80006
201810,20082,29.84218
201810,20656,28.36601
201810,20546,1.70663
201810,20361,0.0113
201810,20322,21.17774
201810,20207,13.08161
201810,20796,9.35054
201810,20281,22.02002
201810,20120,67.29559
201810,20860,1.90467
201810,20132,144.61247
201810,20998,8.49662
201810,20353,139.20349
201810,20111,78.20598
201810,20605,5.0149
201810,20276,2.42653
201810,20701,20.63851
201810,20864,8.41541
201810,20076,112.81424
201810,20744,12.79966
201810,20253,27.40775
201810,20027,104.35081
201810,20068,111.7222
201810,20549,2.94847
201810,20594,3.52649
201810,20708,3.9673
201810,20463,6.26769
201810,20570,6.32174
201810,20714,6.36431
201810,20661,7.99716
201810,20693,6.3547
201810,20538,2.16498
201810,20922,4.81789
201810,20786,4.38476
201810,21063,4.46194
201810,20466,37.80561
201810,20532,27.48171
201810,21083,6.84029
201810,20960,5.5823
201810,20380,4.21548
201810,20438,13.87944
201810,20404,19.52223
201810,20117,20.35383
201810,20680,9.69425
201810,20407,1.03096
201810,20285,23.17137
201810,20936,1.03958
201810,20346,8.2403
201810,20887,7.8694
201810,20372,7.10341
201810,20381,13.69068
201810,20352,15.60962
201810,20850,14.87086
201810,20005,415.71523
201810,20004,16.04067
201810,20003,916.3419
201810,20379,21.11456
201810,20019,251.16146
201810,20394,29.28449
201810,20501,28.63224
201810,20800,7.7872
201810,20411,0.8475
201810,20272,10.44389
201810,20778,12.41884
201810,20617,25.72453
201810,20554,13.12857
201810,20494,2.60715
201810,20755,7.24651
201810,20776,5.74064
201810,20718,7.14905
201810,20457,16.32267
201810,20405,22.70268
201810,20431,31.37589
201810,20248,46.20732
201810,20287,25.66877
201810,20214,25.73069
201810,20057,22.20309
201810,20052,103.95447
201810,20384,27.54941
201810,20108,9.16943
201810,20118,64.50553
201810,20454,16.445
201810,20046,198.61023
201810,20645,21.19457
201810,20683,16.75685
201810,20142,32.21749
201810,20240,21.13806
201810,20259,11.66868
201810,20565,8.13322
201810,20396,10.27369
201810,20399,11.70965
201810,20892,7.7759
201810,20874,7.31833
201810,20125,28.30464
201810,20139,47.56752
201810,20093,24.66009
201810,20101,44.29152
201810,20106,67.30542
201810,20123,46.44549
201810,20894,0.0
201810,20879,0.14793
201810,20360,19.53675
201810,20048,73.14959
201810,20077,51.74158
